exp,item,sent,hasIC,num,isHIGH,tf_surp,LSTM_1_surp,LSTM_10_surp,LSTM_11_surp,LSTM_12_surp,LSTM_13_surp,LSTM_14_surp,LSTM_15_surp,LSTM_16_surp,LSTM_17_surp,LSTM_18_surp,LSTM_19_surp,LSTM_2_surp,LSTM_20_surp,LSTM_21_surp,LSTM_22_surp,LSTM_23_surp,LSTM_24_surp,LSTM_25_surp,LSTM_3_surp,LSTM_4_surp,LSTM_5_surp,LSTM_6_surp,LSTM_7_surp,LSTM_8_surp,LSTM_9_surp,LSTM_avg_surp
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,3.593528032,5.118201733,6.121090889,6.111232758,6.839605331,7.41347599,6.64836216,5.232179165,4.493425846,5.813976765,5.507406712,6.06597662,4.561118126,5.505407333,5.480968475,5.775802135,6.087562561,6.802914143,5.824756622,3.387113094,5.120001793,5.887971878,5.117304802,6.365060806,6.850381374,4.23071003,5.694480286
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,4.685864449,2.979745388,3.724931955,2.71112895,3.529879332,3.264303923,3.192197561,3.075707912,2.658032894,2.951908112,3.248991013,5.573431492,2.736811399,3.173840046,3.776026726,3.282287121,3.343611002,3.787151814,3.517539263,3.372996569,3.295020342,2.896164179,4.035754681,3.143377066,3.183518648,3.783579826,3.369517488
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,5.564909935,3.283844709,3.451880217,3.078493834,2.624277592,3.317725658,3.148559332,3.38887167,2.851238966,3.358679533,3.187648296,3.381652594,4.259245872,3.166271448,3.389254808,4.770919323,3.218486071,3.78950882,3.168348312,4.181349754,3.479758024,3.319591284,3.831100225,3.317457914,2.909438848,4.046367645,3.43679883
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,5.032856464,7.208877087,4.812378407,5.871643066,5.418358803,5.887785912,5.872004986,5.037868977,5.880161285,5.271972179,6.028994083,4.669992924,6.592943192,4.710758209,4.312718391,6.65787077,5.109277248,5.318517208,4.834476471,3.966920137,4.23084116,5.462164402,4.504664421,6.148914337,6.232674599,5.755218983,5.431919889
reading,1,The woman studied with the chef of the aristocrats who was,0,sg,1,2.937952042,4.729838371,5.727737427,5.635404587,7.98603487,6.113870621,4.663809776,4.377593994,3.801040888,4.138259888,4.719510555,4.870665073,4.045342922,4.222153664,3.914480686,4.640114784,4.389533997,5.997678757,4.0946455,3.361909151,3.861568451,5.783270359,4.48884058,3.82642889,6.335508347,3.261291981,4.759461365
reading,1,The woman studied with the chefs of the aristocrat who was,0,sg,0,3.465662003,3.260909796,3.883337736,2.977285862,5.910861969,3.289048433,2.739340067,4.296742439,2.560690165,2.851402044,3.045414448,5.125404835,2.642483711,2.751496553,2.5871768,2.833464146,3.041264534,3.569200277,3.356411457,3.252566814,2.91236186,3.170156956,3.195757866,2.912479877,4.173646927,2.905263662,3.329766769
reading,1,The woman studied with the chef of the aristocrats who were,0,pl,0,7.26554203,3.282100677,3.727643728,3.400565863,2.968224049,5.407057762,3.85747385,5.012731552,4.190743923,4.382603168,3.717052698,3.385517597,5.115022659,3.851608276,4.003118992,5.408351898,3.875990868,3.619940042,3.870359421,5.079709053,3.876951933,3.333171129,3.858668804,5.072484493,3.264758348,4.662460804,4.088972464
reading,1,The woman studied with the chefs of the aristocrat who were,0,pl,1,5.935725212,5.291866779,4.92075634,5.385962009,4.894194126,8.653375626,6.080435753,5.516778946,7.087958813,5.56636858,6.090996265,4.329194069,7.610359669,6.339922905,5.700340748,6.813250065,5.518218994,6.716706753,4.682434559,4.332304001,4.632437229,5.487917423,4.782952785,6.868182182,5.4771595,7.015152454,5.831809063
reading,1,The woman scolded the aristocrat of the chefs who was,1,sg,1,4.219479561,5.326223373,5.937457561,5.912639618,6.206719875,7.400187969,5.985584259,5.486736298,3.948837042,6.116085052,6.633187771,5.603584766,4.694930553,5.874312401,5.89484024,6.157857895,6.544679165,7.203408241,5.862767696,4.280342102,5.047509193,5.997091293,5.57344532,5.508470058,6.685094833,4.563486576,5.777819166
reading,1,The woman scolded the aristocrats of the chef who was,1,sg,0,3.688263893,2.670600653,3.703845501,2.769953966,3.788131237,3.22698164,3.414517403,3.556659937,2.75505209,2.991498947,2.789724827,5.733301163,2.747321844,2.808398485,3.372346163,3.204542398,2.988465786,3.023737669,3.683991194,3.292046309,3.271375179,2.902628183,4.081280231,3.268904209,3.408305407,3.949578047,3.336127539
reading,1,The woman scolded the aristocrat of the chefs who were,1,pl,0,4.681007862,3.220791101,3.892414331,3.232864857,3.256398678,3.407376766,3.324839592,3.589985132,3.41038394,3.306144238,2.945846796,3.729239464,4.094890118,3.188145161,3.633206367,4.275653362,3.465455294,3.848657608,3.440807104,3.719721317,3.53017354,3.402318001,4.536341667,3.726379156,3.153012514,3.995974302,3.573080816
reading,1,The woman scolded the aristocrats of the chef who were,1,pl,1,6.460046768,7.16865778,4.327431202,5.182304859,6.061387062,6.211983204,5.954841614,4.632013798,4.974810123,4.871083736,6.242495537,5.027630329,7.099164009,5.223919392,4.670516491,6.849947453,5.058193207,6.654947758,5.209810257,4.0520401,4.684192181,6.406868458,4.896597385,6.061754227,4.878197193,5.547962666,5.517950001
reading,1,The woman studied with the aristocrat of the chefs who was,0,sg,1,3.499941349,5.101547718,6.014285564,5.689755917,7.269452572,5.636030197,4.296791077,4.081659317,3.691582203,4.25468111,5.517757893,4.952550888,4.171274185,4.753023148,3.878516912,5.209620953,4.55782032,5.823796272,4.096478462,4.192837715,3.631260157,5.992537498,4.624367237,3.920466185,6.163644314,3.750391245,4.850885162
reading,1,The woman studied with the aristocrats of the chef who was,0,sg,0,2.669344664,2.753868341,3.710898161,3.222899199,5.603383064,3.036213398,2.99282527,4.805418968,2.584999084,2.936263561,2.678496122,5.658237457,2.64650178,2.441384315,2.253828764,2.757797718,2.966476202,2.976506948,3.392410517,3.102791548,2.942094088,3.005693674,3.224717379,2.922444105,4.457680225,2.940094709,3.280556984
reading,1,The woman studied with the aristocrat of the chefs who were,0,pl,0,5.335663319,3.419895649,3.852674484,3.615632534,3.356377125,5.467758179,3.913733482,5.05398035,4.455714703,4.47602272,3.603790522,3.472023964,5.120731354,3.446859121,4.203511715,4.889590263,3.994833231,3.502766848,4.209015846,4.272262096,4.274250984,3.486147165,4.281084538,5.289878845,3.360530615,4.401810646,4.136835079
reading,1,The woman studied with the aristocrats of the chef who were,0,pl,1,8.581817627,5.922072411,4.591006279,5.348072529,5.274886608,8.618565559,5.875790119,5.665999413,7.100843906,5.158869743,6.483587742,5.126047611,8.16868782,6.11720705,6.022199631,6.827504635,5.423316956,7.371930599,5.301618576,4.473178387,5.335974216,6.132148743,4.951992989,6.283927441,4.670648575,6.722361565,5.958737564
reading,3,The woman assisted the maid of the executives who was,1,sg,1,4.564344883,5.207575321,5.85759306,6.243824005,7.413309574,7.967719555,6.489212036,4.885055542,5.099130154,6.094573975,5.988924503,7.264723301,5.521377087,6.239069462,5.263727665,6.305388927,6.167311668,6.141609192,5.192893505,3.985433102,5.0782547,6.708696365,5.146425724,6.047392845,6.205116272,5.413528919,5.917114658
reading,3,The woman assisted the maids of the executive who was,1,sg,0,5.915105343,4.171197414,3.947573185,2.498654127,6.202667236,4.093108177,3.70386219,5.660300255,2.766760826,3.439096451,2.610944748,5.443780899,2.941957235,3.578982592,3.234428167,3.0189569,3.71391058,3.199877501,4.007400036,2.921345949,3.885136604,5.459694862,4.721525192,3.144215822,3.471275806,4.097864151,3.837380676
reading,3,The woman assisted the maid of the executives who were,1,pl,0,4.333827496,3.115217686,4.070312023,3.476628542,3.012778282,3.522122145,3.735355616,3.544357538,3.24145484,3.351354361,3.049869776,3.111927032,3.906930685,3.448088169,3.89794445,3.947511196,3.591717005,3.712564707,3.561017513,4.100936413,3.946011782,3.957210779,3.709140539,3.904836893,3.211761236,4.249167919,3.615048685
reading,3,The woman assisted the maids of the executive who were,1,pl,1,3.224867582,3.467859983,5.42364645,5.192052364,3.959980726,5.412210941,4.634683132,3.764374495,5.039420605,5.006733418,5.783253193,4.922498703,6.403303623,5.07508707,3.700951099,6.418626308,4.592095375,6.053014755,4.18905735,4.403624535,4.587394238,5.845415115,3.760803699,5.048120022,6.249937534,5.931839943,4.994639387
reading,3,The woman joked with the maid of the executives who was,0,sg,1,5.446182251,4.869644165,5.42932272,5.58726263,6.389151096,7.327373028,5.319694996,4.084932804,5.456978321,6.028934956,5.592962265,6.309587955,4.605125427,5.272955894,5.110402584,6.101620197,5.236225128,6.266788006,4.75412178,4.42435503,4.524620533,6.234516144,4.765262604,4.562647343,6.382244587,4.603495598,5.409609032
reading,3,The woman joked with the maids of the executive who was,0,sg,0,7.50034523,3.72359395,3.536913633,2.571366787,5.44522953,3.443975687,3.385313749,3.640306473,3.202329874,3.118307829,2.439622164,4.574132919,2.789560318,3.425051212,3.183493137,4.202376366,3.588815212,3.120572567,3.717425108,3.13928318,4.097520351,4.505647659,4.447481155,3.403937578,3.525360823,3.323514462,3.582045269
reading,3,The woman joked with the maid of the executives who were,0,pl,0,2.865443707,3.959112883,3.883238554,3.347176313,3.423345089,3.509895086,4.101260185,3.841470242,4.065965176,3.855510473,3.346369743,3.32586956,4.361461639,3.667655945,3.658646107,5.460668564,3.703120708,3.931307316,4.101202965,4.783191681,4.204495907,3.594176531,4.026580811,4.033931732,3.262561321,4.131236553,3.903178043
reading,3,The woman joked with the maids of the executive who were,0,pl,1,2.225748301,4.429549694,5.359570503,5.473341942,4.290524006,5.564683914,5.931232929,4.873181343,4.77618885,6.121333122,6.777273655,4.902951241,6.308226109,4.887150288,3.620214939,7.089122295,4.73277235,6.560852051,5.13598299,4.811493874,4.91166687,5.357717037,4.131258965,5.614678383,6.559531212,5.923886776,5.365775414
reading,3,The woman assisted the executive of the maids who was,1,sg,1,5.27449131,5.511838436,6.33328867,6.814994812,7.295345306,8.236711502,5.636042595,5.657982826,4.694610119,5.229752541,4.981378078,6.267248631,5.493291855,6.414039135,5.130764484,5.60575676,6.176150322,6.019528866,5.463267326,3.494864225,4.632518768,6.178388596,5.88285017,6.371397495,5.80561161,4.947138309,5.770990458
reading,3,The woman assisted the executives of the maid who was,1,sg,0,2.902563572,3.217761278,4.149632931,3.261814117,4.653610229,3.616911411,3.723432302,5.350175381,3.751953602,3.202506304,2.930944443,5.288516998,2.850232124,3.203895807,3.520103693,3.173866987,3.415786743,3.087979078,3.404341459,2.978886843,3.612189054,3.767155409,4.555018425,3.131893873,3.436648846,5.217024326,3.700091267
reading,3,The woman assisted the executive of the maids who were,1,pl,0,4.073586464,2.926663876,3.943448067,3.255332232,2.84972167,3.188709497,3.347005606,3.258923769,2.821856499,3.602192402,2.869015694,3.246687174,3.466302872,3.593099833,3.046023846,4.207408428,3.22501564,3.238525391,3.554456711,4.289634705,4.041561604,3.601211071,3.340257406,3.919363976,3.349283695,4.157065392,3.453550682
reading,3,The woman assisted the executives of the maid who were,1,pl,1,7.399200439,6.202131748,5.59372282,4.593729973,6.191144466,6.839148045,5.1166749,4.074965477,3.892806053,4.969109058,5.735146523,5.180826664,6.469554424,5.505000114,4.278367043,5.768882751,4.986457348,6.596063137,4.924109459,3.892223358,4.657515049,6.255605698,4.407550812,5.22305584,4.927735806,5.501398087,5.271316986
reading,3,The woman joked with the executive of the maids who was,0,sg,1,6.299894333,4.634522915,5.642715454,6.076290131,5.922647953,7.604260445,4.738238335,4.334897518,5.35689497,4.817543507,4.404728889,5.121264458,4.447101116,4.937707424,5.116326332,5.362383842,5.273149967,5.147867203,4.662696838,3.730275393,4.441861153,6.058310986,5.279697418,4.405324936,5.797698975,4.532964706,5.113894835
reading,3,The woman joked with the executives of the maid who was,0,sg,0,2.630086899,3.15416646,3.356373072,3.358083963,4.12302494,3.250719309,3.060346365,3.120423079,4.388095856,2.667052984,2.764769554,4.137514591,2.678667545,3.131744623,3.148078442,4.443662167,3.572437048,3.101042986,3.282690763,3.11327672,3.778196096,3.144358635,4.430299759,3.146631479,3.057537794,4.163620949,3.422912607
reading,3,The woman joked with the executive of the maids who were,0,pl,0,2.375993252,3.544543982,3.658404589,3.332763433,3.490228415,3.268056393,3.606530428,3.882888556,3.745736599,3.825741291,3.321891546,3.517903328,4.43559742,3.801131964,3.14431262,5.252639771,3.351742983,3.511318922,4.009408951,5.022258759,4.294408798,3.268533707,3.359347343,4.314925194,3.237273455,4.056410313,3.77015995
reading,3,The woman joked with the executives of the maid who were,0,pl,1,5.495248795,5.527206421,5.411349773,4.975428104,6.256921291,6.741146088,6.057987213,5.323635101,3.842205286,5.84323597,6.473164082,5.327122688,6.984082699,4.977562904,5.012770653,6.761037827,5.113453865,6.586195469,5.709558487,4.300534725,4.582583427,6.018140793,5.125856876,5.187787533,5.411968231,5.58313942,5.565362997
reading,4,The man trusted the captain of the sailors who was,1,sg,1,2.684758425,5.265179157,5.583087444,6.481869221,6.50699234,7.494084835,5.304055214,4.827145576,5.167850971,5.165118694,5.707974911,5.416027546,5.874946117,6.040219307,4.409098625,6.060163498,5.955397129,7.015346527,6.168312073,3.405629396,5.292335987,6.318313599,5.412193775,7.674850941,5.860694885,5.146733284,5.742144842
reading,4,The man trusted the captains of the sailor who was,1,sg,0,2.66840744,3.384238958,4.313928127,3.209180117,3.669003487,3.349631548,3.057461739,4.941557407,2.734759808,3.115021706,3.051149368,4.280988216,3.263602495,3.108453512,3.666092873,3.384406328,3.632467985,3.183479786,3.760141373,2.978367805,4.082705975,3.212423086,4.02568388,3.129763365,3.400422096,3.586335659,3.500850668
reading,4,The man trusted the captain of the sailors who were,1,pl,0,7.664736271,3.001995087,4.153445244,3.370940208,2.948555946,3.862495422,3.772355556,3.095939159,3.021698713,3.574973822,3.059354067,3.497471571,3.246616125,3.057334661,3.372984409,4.300323963,3.355408669,3.498906612,3.145569563,3.95810771,4.209824562,3.209645033,3.448814869,3.888309002,3.191855669,3.533229351,3.4710462
reading,4,The man trusted the captains of the sailor who were,1,pl,1,5.928550243,5.105716228,4.701947212,4.49731493,6.329145908,6.356879234,6.708978653,4.136631966,6.256686211,4.795582294,5.157859802,4.983631134,4.447776318,4.365104675,3.894294739,6.022463799,3.880285263,6.465773106,4.332517624,3.810437679,4.262525558,5.049013138,4.787532806,6.011836529,5.740145683,5.979660034,5.123189621
reading,4,The man stood near the captain of the sailors who was,0,sg,1,2.197745323,5.675949574,5.394431591,6.781487942,6.001280785,7.739822865,5.179610252,3.901144981,4.956992149,5.621364594,5.435501575,5.780643463,6.287164688,5.91159153,4.684792995,5.776027679,6.128103733,7.3505373,5.882716179,3.36190176,4.139960766,5.612235546,5.352895737,6.824304104,6.02585268,4.940276146,5.629863625
reading,4,The man stood near the captains of the sailor who was,0,sg,0,2.676668644,2.862394571,3.318925142,2.852690458,4.114767551,3.221523285,2.647331715,4.034404278,2.317132473,2.949560165,2.763898849,3.577151299,3.220326424,2.731501341,2.965827703,3.016354084,2.88667345,2.655595779,3.22978282,2.585444212,2.874529123,2.814439058,3.384684563,2.719968557,2.972561598,2.982190132,3.027986345
reading,4,The man stood near the captain of the sailors who were,0,pl,0,6.462366581,2.951483011,3.689296484,2.950701714,3.237289667,3.319365025,3.779486895,3.637622118,3.002818108,2.864815712,3.328005552,3.097594976,3.457845449,3.1822474,3.425465822,4.198622227,3.44390583,2.806930065,3.440268278,3.84367466,3.735856771,3.315397739,2.997279882,3.969585896,3.26506567,3.65615201,3.383871078
reading,4,The man stood near the captains of the sailor who were,0,pl,1,3.884381533,7.276495934,4.966320515,5.641398907,5.650378704,7.369716167,8.536646843,5.503129005,6.639260292,5.509930611,5.57738924,5.816244125,5.448091984,5.818419456,5.78203392,5.906898022,5.113119602,6.428111076,5.905596733,4.98732233,5.250204086,5.545384407,4.709872723,6.799145699,6.256845951,6.806373119,5.969773178
reading,4,The man trusted the sailor of the captains who was,1,sg,1,5.764893532,5.992646217,5.76294899,5.273526192,7.559165001,6.842614651,5.328193665,6.298640251,5.030572891,5.928272247,6.80242157,6.957300663,5.998215675,5.053848267,4.708763123,6.317477703,5.577474594,7.551586151,5.904249668,3.873529434,4.994682312,6.388334274,5.721802711,5.481389046,6.580615997,4.089531898,5.840712128
reading,4,The man trusted the sailors of the captain who was,1,sg,0,2.709489107,3.636033535,3.933124542,3.755092859,3.706463337,3.418385744,2.9141047,5.101443291,2.888344049,2.869537354,2.902554989,4.639111519,2.772203922,2.914402485,3.118275166,3.163002253,3.673051834,4.046908379,4.08447361,2.702505112,3.865144014,2.90884757,3.823344946,3.16494894,3.258806467,3.839097261,3.483968315
reading,4,The man trusted the sailor of the captains who were,1,pl,0,3.098839045,3.091941595,4.142840862,3.966751099,2.833426952,4.142799854,4.23063755,3.36887908,3.387178421,3.60223341,2.915137291,3.368222237,3.339022398,3.348081589,3.462428331,4.458362103,3.586487532,3.912915945,3.397145748,4.990126133,4.246467113,3.146166325,3.778258324,4.819298744,3.367541552,3.885519028,3.711514769
reading,4,The man trusted the sailors of the captain who were,1,pl,1,7.560754776,4.884962082,5.138382912,4.76229763,5.184052944,7.312676907,5.899442673,4.514990807,4.779898643,5.054285526,5.928411007,6.178480148,5.720046997,5.045428753,4.287064075,6.282815933,4.265750885,6.659825802,4.396627903,4.112798691,5.022358894,5.620504856,4.481211662,5.278605938,6.174521923,5.459905624,5.297813969
reading,4,The man stood near the sailor of the captains who was,0,sg,1,6.440633297,6.499094963,5.654262543,5.716348171,6.933463573,7.591491699,5.466005325,5.619777679,4.829758644,6.044357777,6.182758331,6.976257324,6.369567394,4.915959835,4.791755676,6.203630447,5.602020741,7.190346718,5.355133533,3.654441357,3.773638487,5.573604107,5.196427822,5.076441288,6.716480255,4.184189796,5.68468854
reading,4,The man stood near the sailors of the captain who was,0,sg,0,2.315405369,2.938764572,3.060719252,2.855293512,3.772815704,3.493527889,2.463718414,4.028143883,2.41408205,2.53838706,2.603265047,4.21088171,2.825260162,2.656734228,2.838943958,2.69024086,2.969092607,3.014746189,3.492771864,2.417154551,2.520295858,2.460706234,2.787632465,2.603994608,2.848468065,3.391762733,2.955896139
reading,4,The man stood near the sailor of the captains who were,0,pl,0,2.471532583,3.134665489,3.801493645,3.407996893,2.966555595,3.6778934,4.167294025,3.769534588,3.345919609,3.127691984,3.213879347,2.888946295,3.609806776,3.52467227,3.526870251,3.981819153,3.792687654,3.291252613,3.817670584,5.184381485,4.02280283,3.210431814,3.290213585,4.727451324,3.342563391,4.092912674,3.636696291
reading,4,The man stood near the sailors of the captain who were,0,pl,1,6.374351501,6.836642742,5.856894016,6.716133118,5.084440708,8.294365883,7.591246128,5.865294933,5.887217999,6.202587128,6.734846592,7.707967281,6.081592083,6.008212566,5.318978786,6.557988644,5.537602901,6.515947819,5.701356411,4.71648407,6.845176697,6.485814571,5.191747665,6.37462759,6.881951332,6.785548687,6.311226654
reading,6,The man comforted the leader of the activists who was,1,sg,1,2.468990803,5.349885464,5.386059761,6.641521454,8.072410583,7.576079369,5.311862469,4.898783684,5.170121193,5.605973721,5.585425377,5.7059412,4.710235596,5.154427528,5.489767551,5.788106441,6.847054958,6.740875244,5.888601303,4.440206528,5.154846191,6.622990608,5.676691532,5.989329338,6.397978783,4.572161674,5.791093502
reading,6,The man comforted the leaders of the activist who was,1,sg,0,2.322673559,3.811218739,4.0050354,3.222103596,4.631985664,3.651866436,3.570726871,4.255950451,3.427652121,3.429587603,2.895781517,5.095501423,3.130560398,2.944947004,3.500737906,3.20585227,3.414386749,3.283275127,4.384906292,3.268920898,3.432096004,3.667032719,4.018319607,2.632472515,2.971284389,3.949972391,3.592086964
reading,6,The man comforted the leader of the activists who were,1,pl,0,7.334226131,2.978415251,3.66896987,3.077194929,2.573857546,3.614275455,3.798587084,3.196743011,3.477158785,3.372318029,3.144346476,3.874485731,3.987310171,3.632807493,3.666421175,4.925542831,3.36521554,3.516929388,3.220820189,3.643834829,3.813000441,3.311949015,3.819293976,3.648986816,3.383174181,4.010664463,3.548892107
reading,6,The man comforted the leaders of the activist who were,1,pl,1,8.831946373,6.181771278,4.659921646,5.708101749,4.760179043,5.570317745,6.280681133,4.217887402,5.56141758,4.651359081,5.621361256,5.523190975,4.832790852,5.732836723,4.862777233,6.362179756,5.841744423,6.647900105,4.449643135,4.30389452,4.990829945,4.679877281,5.019825459,6.910520077,6.72714901,5.855031013,5.438127537
reading,6,The man greeted the leader of the activists who was,0,sg,1,2.891712904,5.330444813,5.506847858,6.642642498,7.959197044,7.798755646,5.733990192,5.546766758,5.507511616,5.628473282,5.49296236,6.047580242,5.15426302,5.710306644,5.609814167,6.218173027,6.864357471,6.952017307,6.03134203,4.238349915,4.765728951,6.694241524,5.960029125,5.701981544,6.151055813,4.66232872,5.916366463
reading,6,The man greeted the leaders of the activist who was,0,sg,0,2.73994112,3.800234556,4.340402603,3.283947945,4.357723236,3.793683767,3.685306549,5.25553751,3.66311121,3.59768796,2.980739117,5.61824131,3.637942791,2.976275444,3.857062578,3.490975142,3.236372232,3.342668533,4.387310505,3.337746382,3.302807093,3.693494558,4.163519382,2.902970552,3.33590436,4.282925129,3.772983618
reading,6,The man greeted the leader of the activists who were,0,pl,0,7.544723988,2.978082418,3.643008709,3.150325775,2.800526381,3.606743097,3.589421272,3.163927794,3.178992033,3.405092716,3.148043871,3.51518774,3.951994181,3.737554073,3.439443827,4.616280079,3.332159281,3.405070782,3.268512726,3.594446659,3.87113595,3.509819269,3.829451561,4.175444126,3.38247776,4.182180405,3.539012899
reading,6,The man greeted the leaders of the activist who were,0,pl,1,7.312121868,6.076984882,4.770132542,5.192611217,5.074219704,5.67565012,5.81356144,4.327166557,4.893659592,4.560922623,5.200604439,5.381385803,4.363912106,5.918278217,4.314474583,5.809737682,6.095600128,7.022421837,4.394986153,4.24570322,5.094465733,5.09263134,4.568310261,7.0993433,5.863156796,5.781547546,5.305258713
reading,6,The man comforted the activist of the leaders who was,1,sg,1,3.52090621,6.230940819,6.055081367,5.986224174,7.875597477,7.484201908,6.148471832,4.865771294,5.091832638,6.079757214,6.620230198,6.875658512,5.9399333,4.993180752,5.239377022,6.325528622,6.564117432,7.641208649,6.123742104,5.127067089,5.014173508,6.538505077,6.084923744,5.137084007,6.849045277,5.147444248,6.081563931
reading,6,The man comforted the activists of the leader who was,1,sg,0,2.433283806,2.988897562,3.050879478,2.730383873,5.416404247,3.476963282,2.995507479,3.470890999,3.088798761,2.965733051,2.831332207,5.423178196,2.65975666,3.265856743,3.448813438,3.255822182,3.493323088,3.283324003,3.822626829,3.029381514,3.620584011,3.022954702,3.444601297,2.779891729,2.935585976,3.990960598,3.379698076
reading,6,The man comforted the activist of the leaders who were,1,pl,0,4.937454224,2.861934185,3.665241957,3.503426313,2.746594429,3.440945387,3.719089031,3.195303917,4.017068863,3.672597647,3.080286264,3.589275599,3.304209709,3.909853935,3.645994902,4.551358223,3.884320974,3.252192259,3.461728334,4.49169445,4.235693455,2.912999392,3.75625515,4.09998703,3.417613029,4.268036366,3.627348032
reading,6,The man comforted the activists of the leader who were,1,pl,1,7.844109535,6.652419567,4.720387936,5.834775448,5.427658558,6.073908329,7.04838562,5.168652534,5.989195347,5.206584454,6.155494213,7.176450729,6.067877293,5.154960632,4.774355412,6.863520145,5.499251366,6.607251644,4.70538187,4.315648079,5.258494377,5.767983437,5.8292799,6.252733231,7.047491074,5.17624712,5.790975533
reading,6,The man greeted the activist of the leaders who was,0,sg,1,4.243712425,6.280344009,6.103384972,5.884893417,7.907127857,7.9607687,6.997471809,5.447878838,5.096772671,6.039487362,6.765879154,7.19894886,6.373758316,5.469702244,5.421373844,6.817330837,6.542051315,7.562710285,6.219277859,4.899190903,4.590798378,6.592180252,6.207627773,4.599511147,6.594222069,5.535274506,6.204318695
reading,6,The man greeted the activists of the leader who was,0,sg,0,2.856163263,2.98460412,3.420329809,2.696912289,5.05569315,3.553020477,3.165576935,4.871686459,3.172173738,3.017014742,2.940457821,5.905647755,3.003178835,3.323438168,3.802707434,3.551454067,3.525022745,3.174905777,3.797693968,3.06841445,3.329346418,3.177096128,3.752694368,3.01863718,3.225586414,4.265742302,3.551961422
reading,6,The man greeted the activist of the leaders who were,0,pl,0,4.457123756,2.874101162,3.668083191,3.669152975,2.985248804,3.32088995,3.384632111,3.23490119,3.80827713,3.737244606,2.994599819,3.185174942,3.342283487,3.946106434,3.531367064,4.211228371,3.793316126,3.192630768,3.459696293,4.503442287,4.355927944,3.03294158,3.734514475,4.750902653,3.444087744,4.26179266,3.616901751
